first,last,position,year,number,hometown,status,grad_year,name_last_first_initial,name_last_first,name
mike,fernicola,OL,Jr.,58,"Wayne, N.J.",Junior,2025,"fernicola, m","fernicola, mike",mike fernicola
hunter,lay,DL,Jr.,92,"Denver, Colo.",Junior,2025,"lay, h","lay, hunter",hunter lay
raashed,hall,DL,Jr.,93,"Crofton, Md.",Junior,2025,"hall, r","hall, raashed",raashed hall
james,quinnelly,DL,Sr.,95,"Daphne, Ala.",Senior,2025,"quinnelly, j","quinnelly, james",james quinnelly
davis,greene,DL,Fr.,96,"Brentwood, Tenn.",Freshman,2023,"greene, d","greene, davis",davis greene
christian,de villiers,P,Jr.,97,"Doral, Fla.",Junior,2025,"de villiers, c","de villiers, christian",christian de villiers
karson,siqueiros-lasky,QB,So.,6,"Lake Mary, Fla.",Sophomore,2025,"siqueiros-lasky, k","siqueiros-lasky, karson",karson siqueiros-lasky
cole,spencer,QB,Sr.,10,"Gibsonia, Pa.",Senior,2024,"spencer, c","spencer, cole",cole spencer
dylan,seay,TE,Fr.,18,"Collingswood, N.J.",Freshman,2024,"seay, d","seay, dylan",dylan seay
andrew,bruce,DB,So.,19,"Chardon, Ohio",Sophomore,2025,"bruce, a","bruce, andrew",andrew bruce
ronan,johannson,WR,So.,23,"West St. Paul, Manitoba, Canada",Sophomore,2025,"johannson, r","johannson, ronan",ronan johannson
donte,west,RB,So.,26,"Forestville, Md.",Sophomore,2025,"west, d","west, donte",donte west
griffin,rosenbloom,WR,So.,31,"Carlsbad, Calif.",Sophomore,2025,"rosenbloom, g","rosenbloom, griffin",griffin rosenbloom
lawson,douglas,DB,Fr.,34,"Aurora, Colo.",Freshman,2024,"douglas, l","douglas, lawson",lawson douglas
trevor,pajak,LB,So.,35,"Huntington Beach, Calif.",Sophomore,2025,"pajak, t","pajak, trevor",trevor pajak
ty,cortes,DB,So.,37,"Poway, Calif.",Sophomore,2025,"cortes, t","cortes, ty",ty cortes
ben,wable,DB,So.,38,"Cheshire, Conn.",Sophomore,2025,"wable, b","wable, ben",ben wable
brayden,phinney,LB,So.,46,"Marshfield, Mass.",Sophomore,2025,"phinney, b","phinney, brayden",brayden phinney
derek,mccrum,LB,So.,47,"Avon Lake, Ohio",Sophomore,2025,"mccrum, d","mccrum, derek",derek mccrum
aiden,bergin,LB,So.,48,"Bloomfield Hills, Mich.",Sophomore,2025,"bergin, a","bergin, aiden",aiden bergin
remo,marcaccio,OL,So.,50,"New York, N.Y.",Sophomore,2025,"marcaccio, r","marcaccio, remo",remo marcaccio
oliver,roaman,DL,So.,51,"New York, N.Y.",Sophomore,2025,"roaman, o","roaman, oliver",oliver roaman
ryan,mitchell,OL,So.,52,"Midlothian, Va.",Sophomore,2025,"mitchell, r","mitchell, ryan",ryan mitchell
cosmo,fusco,DL,So.,55,"Boonton, N.J.",Sophomore,2025,"fusco, c","fusco, cosmo",cosmo fusco
alex,jordan,DL,So.,59,"Castle Pines, Colo.",Sophomore,2025,"jordan, a","jordan, alex",alex jordan
liam,forster,OL,So.,66,"Patterson, N.Y.",Sophomore,2025,"forster, l","forster, liam",liam forster
trenton,vanboening,OL,Jr.,70,"Libertyville, Ill.",Junior,2025,"vanboening, t","vanboening, trenton",trenton vanboening
nathan,sayle,OL,So.,71,"Huntsville, Ala.",Sophomore,2025,"sayle, n","sayle, nathan",nathan sayle
austin,zimm,OL,So.,73,"Naples, Fla.",Sophomore,2025,"zimm, a","zimm, austin",austin zimm
marco,carone,OL/DL,So.,78,"Pittsburgh, Pa.",Sophomore,2025,"carone, m","carone, marco",marco carone
jack,donnelly,TE,So.,80,"Doylestown, Pa.",Sophomore,2025,"donnelly, j","donnelly, jack",jack donnelly
markus,brown,TE,So.,81,"Rumson, N.J.",Sophomore,2025,"brown, m","brown, markus",markus brown
connor,martin,DL,So.,81,"Towaco, N.J.",Sophomore,2025,"martin, c","martin, connor",connor martin
alexandro,"armour, jr.",DL,So.,83,"Woodbridge, Va.",Sophomore,2025,"armour, jr., a","armour, jr., alexandro","alexandro armour, jr."
dylan,karz,WR,So.,83,"Los Angeles, Calif.",Sophomore,2025,"karz, d","karz, dylan",dylan karz
justin,alpert,WR,So.,88,"New Albany, Ohio",Sophomore,2025,"alpert, j","alpert, justin",justin alpert
connor,johns,WR,So.,89,"Orefield, Pa.",Sophomore,2025,"johns, c","johns, connor",connor johns
josh,barnavon,K,So.,93,"Los Angeles, Calif.",Sophomore,2025,"barnavon, j","barnavon, josh",josh barnavon
david,mcmorris,DL,So.,98,"Glenn Dale, Md.",Sophomore,2025,"mcmorris, d","mcmorris, david",david mcmorris
